Gene_description Len_aa Len_sym GC GC3s GCn3s GC1 GC2 GC3 T1 T2 T3 C1 C2 C3 A1 A2 A3 G1 G2 G3
NM_014828.4 621 598 0.512 0.460 0.537 0.585 0.472 0.480 0.158 0.243 0.303 0.274 0.343 0.200 0.258 0.285 0.217 0.311 0.129 0.280
NM_002492.4 189 182 0.455 0.374 0.494 0.550 0.418 0.397 0.190 0.307 0.339 0.212 0.222 0.169 0.259 0.275 0.265 0.339 0.196 0.228
NM_003193.5 527 514 0.445 0.411 0.461 0.548 0.361 0.425 0.176 0.298 0.268 0.241 0.192 0.184 0.275 0.342 0.307 0.307 0.169 0.241
NM_015542.4 1272 1231 0.412 0.365 0.435 0.538 0.314 0.385 0.152 0.250 0.300 0.213 0.170 0.164 0.311 0.436 0.315 0.325 0.144 0.222
NM_015137.6 821 793 0.416 0.340 0.452 0.532 0.353 0.363 0.169 0.324 0.357 0.222 0.202 0.158 0.298 0.323 0.280 0.311 0.151 0.205
NM_014303.4 588 572 0.567 0.745 0.482 0.595 0.354 0.752 0.143 0.255 0.143 0.238 0.197 0.344 0.262 0.391 0.105 0.357 0.156 0.408
NM_002817.4 376 359 0.496 0.565 0.463 0.585 0.316 0.585 0.138 0.335 0.245 0.263 0.165 0.245 0.277 0.348 0.170 0.322 0.152 0.340
NM_021228.3 1312 1297 0.688 0.786 0.640 0.662 0.614 0.788 0.136 0.127 0.120 0.305 0.377 0.415 0.202 0.258 0.091 0.357 0.238 0.373
NM_021178.5 277 267 0.448 0.419 0.461 0.505 0.397 0.440 0.206 0.267 0.318 0.235 0.195 0.242 0.289 0.336 0.242 0.271 0.202 0.199
NM_018237.4 1150 1118 0.417 0.307 0.470 0.565 0.361 0.326 0.159 0.222 0.308 0.246 0.217 0.122 0.276 0.417 0.366 0.319 0.143 0.204
NM_052850.4 222 211 0.680 0.791 0.629 0.734 0.505 0.802 0.108 0.167 0.077 0.365 0.284 0.270 0.158 0.329 0.122 0.369 0.221 0.532
NM_014743.3 1395 1356 0.426 0.339 0.467 0.499 0.420 0.358 0.218 0.216 0.330 0.171 0.229 0.169 0.283 0.363 0.313 0.328 0.191 0.189
NM_001930.4 369 353 0.578 0.759 0.493 0.585 0.379 0.770 0.138 0.295 0.136 0.230 0.217 0.420 0.276 0.325 0.095 0.355 0.163 0.350
NM_014748.4 470 455 0.552 0.629 0.515 0.609 0.406 0.640 0.155 0.294 0.213 0.279 0.183 0.300 0.236 0.300 0.147 0.330 0.223 0.340
NM_015695.3 1205 1174 0.564 0.650 0.523 0.609 0.424 0.659 0.145 0.237 0.184 0.289 0.222 0.327 0.246 0.339 0.157 0.320 0.202 0.332
NM_002624.4 154 146 0.502 0.651 0.434 0.571 0.266 0.669 0.097 0.318 0.182 0.240 0.201 0.234 0.331 0.416 0.149 0.331 0.065 0.435
NM_004699.4 339 321 0.565 0.807 0.454 0.569 0.310 0.817 0.109 0.227 0.100 0.215 0.147 0.322 0.322 0.463 0.083 0.354 0.162 0.496
NM_000993.5 125 121 0.475 0.504 0.461 0.520 0.384 0.520 0.096 0.256 0.248 0.200 0.208 0.264 0.384 0.360 0.232 0.320 0.176 0.256
NM_020401.4 925 885 0.417 0.321 0.462 0.542 0.359 0.350 0.179 0.295 0.338 0.222 0.199 0.126 0.279 0.346 0.311 0.320 0.160 0.224
NM_002340.6 732 692 0.611 0.764 0.540 0.609 0.445 0.777 0.186 0.257 0.149 0.280 0.217 0.413 0.205 0.298 0.074 0.329 0.228 0.365
NM_133368.3 576 557 0.455 0.408 0.478 0.521 0.418 0.427 0.210 0.281 0.293 0.214 0.214 0.224 0.269 0.300 0.280 0.307 0.205 0.203
NM_003321.5 455 440 0.591 0.720 0.530 0.640 0.404 0.730 0.103 0.303 0.169 0.255 0.226 0.349 0.257 0.292 0.101 0.385 0.178 0.380
NM_152267.4 192 186 0.562 0.575 0.556 0.568 0.531 0.589 0.188 0.245 0.245 0.234 0.240 0.312 0.245 0.224 0.167 0.333 0.292 0.276
NM_006804.4 445 433 0.576 0.732 0.501 0.580 0.409 0.739 0.198 0.328 0.160 0.267 0.231 0.411 0.222 0.263 0.101 0.312 0.178 0.328
NM_006811.4 473 446 0.477 0.522 0.456 0.457 0.425 0.550 0.243 0.357 0.294 0.195 0.228 0.334 0.300 0.218 0.156 0.262 0.197 0.216
NM_024556.4 351 341 0.454 0.449 0.456 0.558 0.339 0.464 0.165 0.299 0.296 0.222 0.188 0.234 0.276 0.362 0.239 0.336 0.151 0.231
NM_016237.5 755 727 0.499 0.571 0.465 0.570 0.340 0.587 0.176 0.311 0.230 0.261 0.200 0.270 0.254 0.348 0.183 0.309 0.140 0.317
NM_014049.5 621 604 0.537 0.651 0.482 0.556 0.395 0.660 0.140 0.311 0.180 0.216 0.198 0.361 0.304 0.295 0.159 0.340 0.196 0.300
NM_022095.4 1342 1315 0.613 0.683 0.578 0.645 0.503 0.689 0.140 0.196 0.165 0.306 0.303 0.382 0.215 0.301 0.146 0.339 0.200 0.308
NM_002556.3 807 775 0.523 0.548 0.512 0.553 0.451 0.566 0.156 0.213 0.226 0.207 0.238 0.274 0.291 0.336 0.208 0.346 0.213 0.292
NM_181715.3 693 674 0.597 0.619 0.587 0.610 0.553 0.629 0.183 0.209 0.227 0.355 0.356 0.346 0.206 0.238 0.144 0.255 0.196 0.283
NM_032376.4 257 241 0.598 0.763 0.523 0.591 0.424 0.778 0.202 0.366 0.156 0.276 0.198 0.401 0.206 0.210 0.066 0.315 0.226 0.377
NM_014516.4 753 734 0.604 0.733 0.542 0.596 0.475 0.740 0.125 0.186 0.141 0.282 0.295 0.420 0.279 0.339 0.120 0.315 0.181 0.320
NM_003093.3 159 136 0.551 0.404 0.610 0.591 0.572 0.491 0.094 0.220 0.289 0.358 0.377 0.195 0.314 0.208 0.220 0.233 0.195 0.296
NM_021928.4 180 173 0.431 0.445 0.425 0.467 0.361 0.467 0.200 0.356 0.283 0.178 0.217 0.211 0.333 0.283 0.250 0.289 0.144 0.256
NM_012286.3 288 278 0.464 0.421 0.485 0.538 0.413 0.441 0.160 0.215 0.285 0.215 0.243 0.174 0.302 0.372 0.274 0.323 0.170 0.267
NM_002715.4 309 298 0.450 0.386 0.480 0.566 0.375 0.408 0.204 0.275 0.366 0.243 0.178 0.197 0.230 0.350 0.227 0.324 0.197 0.210
NM_015949.3 327 313 0.621 0.837 0.519 0.615 0.404 0.844 0.177 0.284 0.092 0.275 0.208 0.407 0.208 0.312 0.064 0.339 0.196 0.437
NM_014939.4 1435 1402 0.403 0.298 0.454 0.514 0.381 0.314 0.201 0.281 0.369 0.226 0.224 0.143 0.284 0.338 0.317 0.289 0.157 0.171
NM_004218.4 218 214 0.609 0.879 0.477 0.569 0.376 0.881 0.133 0.266 0.046 0.216 0.206 0.528 0.298 0.358 0.073 0.353 0.170 0.353
NM_145246.5 315 306 0.346 0.255 0.390 0.457 0.305 0.276 0.229 0.197 0.321 0.127 0.130 0.114 0.314 0.498 0.403 0.330 0.175 0.162
NM_016410.6 219 210 0.460 0.462 0.459 0.575 0.320 0.484 0.119 0.242 0.265 0.196 0.215 0.169 0.306 0.438 0.251 0.379 0.105 0.315
NM_030799.9 257 244 0.419 0.340 0.455 0.482 0.401 0.374 0.276 0.339 0.331 0.191 0.218 0.198 0.241 0.261 0.296 0.292 0.183 0.175
NM_021947.3 340 332 0.454 0.373 0.493 0.562 0.412 0.388 0.147 0.300 0.344 0.194 0.262 0.191 0.291 0.288 0.268 0.368 0.150 0.197
NM_139015.5 384 365 0.503 0.559 0.478 0.513 0.417 0.581 0.250 0.383 0.286 0.250 0.247 0.365 0.237 0.201 0.133 0.263 0.169 0.216
NM_019852.5 580 561 0.505 0.488 0.512 0.583 0.426 0.505 0.159 0.247 0.278 0.253 0.241 0.248 0.259 0.328 0.217 0.329 0.184 0.257
NM_007359.5 703 687 0.558 0.454 0.608 0.674 0.532 0.467 0.114 0.145 0.299 0.321 0.304 0.205 0.212 0.323 0.235 0.353 0.228 0.262
NM_003927.5 411 398 0.592 0.565 0.605 0.637 0.560 0.579 0.100 0.175 0.200 0.246 0.217 0.302 0.263 0.265 0.221 0.392 0.343 0.277
NM_014463.3 102 98 0.435 0.367 0.466 0.608 0.304 0.392 0.088 0.324 0.304 0.225 0.157 0.176 0.304 0.373 0.304 0.382 0.147 0.216
NM_016581.5 431 412 0.623 0.782 0.548 0.666 0.411 0.791 0.130 0.276 0.130 0.346 0.223 0.404 0.204 0.313 0.079 0.320 0.188 0.387
NM_007238.5 212 202 0.585 0.762 0.502 0.585 0.396 0.774 0.193 0.340 0.123 0.311 0.226 0.429 0.222 0.264 0.104 0.274 0.170 0.344
NM_004849.4 275 259 0.390 0.286 0.438 0.520 0.324 0.327 0.182 0.298 0.360 0.251 0.182 0.105 0.298 0.378 0.313 0.269 0.142 0.222
NM_175732.3 201 194 0.592 0.758 0.513 0.592 0.418 0.766 0.144 0.299 0.124 0.284 0.224 0.328 0.264 0.284 0.109 0.308 0.194 0.438
NM_032490.5 100 97 0.563 0.598 0.547 0.710 0.370 0.610 0.120 0.220 0.190 0.230 0.220 0.210 0.170 0.410 0.200 0.480 0.150 0.400
NM_021009.7 685 676 0.529 0.692 0.449 0.562 0.328 0.696 0.083 0.304 0.188 0.258 0.184 0.352 0.355 0.368 0.115 0.304 0.145 0.345
NM_016497.4 128 119 0.505 0.546 0.487 0.516 0.422 0.578 0.164 0.305 0.219 0.258 0.117 0.289 0.320 0.273 0.203 0.258 0.305 0.289
NM_023079.5 354 337 0.586 0.635 0.563 0.610 0.494 0.653 0.150 0.246 0.218 0.254 0.260 0.325 0.240 0.260 0.130 0.356 0.234 0.328
NM_017802.4 855 834 0.661 0.821 0.583 0.706 0.450 0.826 0.124 0.301 0.098 0.346 0.275 0.413 0.170 0.249 0.076 0.360 0.175 0.413
NM_007198.4 275 263 0.530 0.589 0.502 0.593 0.389 0.607 0.135 0.287 0.185 0.247 0.215 0.258 0.273 0.324 0.207 0.345 0.175 0.349
NM_014798.3 1056 1032 0.591 0.731 0.523 0.607 0.428 0.737 0.182 0.256 0.143 0.298 0.240 0.387 0.211 0.316 0.120 0.309 0.188 0.349
NM_006938.4 119 115 0.443 0.330 0.496 0.529 0.445 0.353 0.067 0.294 0.286 0.202 0.151 0.118 0.403 0.261 0.361 0.328 0.294 0.235
NM_032839.3 478 452 0.506 0.467 0.524 0.536 0.487 0.496 0.241 0.385 0.280 0.230 0.253 0.236 0.224 0.128 0.224 0.305 0.234 0.259
NM_006364.4 765 729 0.433 0.313 0.489 0.539 0.414 0.345 0.192 0.292 0.379 0.256 0.234 0.145 0.269 0.294 0.276 0.282 0.180 0.200
NM_006571.4 190 184 0.437 0.391 0.459 0.516 0.384 0.411 0.105 0.295 0.289 0.184 0.221 0.200 0.379 0.321 0.300 0.332 0.163 0.211
NM_024068.4 211 208 0.551 0.577 0.539 0.550 0.521 0.583 0.109 0.185 0.270 0.261 0.303 0.336 0.341 0.294 0.147 0.289 0.218 0.246
NM_024683.4 360 346 0.413 0.393 0.422 0.453 0.369 0.417 0.244 0.319 0.297 0.208 0.214 0.172 0.303 0.311 0.286 0.244 0.156 0.244
NM_006565.4 727 703 0.491 0.484 0.495 0.582 0.391 0.501 0.121 0.199 0.264 0.243 0.210 0.237 0.297 0.410 0.235 0.338 0.180 0.264
NM_004175.5 126 119 0.500 0.521 0.490 0.540 0.413 0.548 0.095 0.278 0.183 0.198 0.167 0.270 0.365 0.310 0.270 0.341 0.246 0.278
NM_022727.6 625 613 0.630 0.767 0.564 0.651 0.469 0.771 0.126 0.253 0.122 0.298 0.256 0.389 0.222 0.278 0.107 0.354 0.213 0.382
NM_004718.4 114 109 0.503 0.550 0.481 0.509 0.430 0.570 0.202 0.263 0.202 0.219 0.307 0.281 0.289 0.307 0.228 0.289 0.123 0.289
NM_005934.4 559 548 0.629 0.863 0.516 0.547 0.474 0.866 0.161 0.174 0.050 0.252 0.299 0.472 0.292 0.352 0.084 0.295 0.175 0.394
NM_015994.4 247 241 0.422 0.390 0.438 0.530 0.332 0.405 0.130 0.300 0.287 0.178 0.202 0.138 0.340 0.368 0.308 0.352 0.130 0.267
NM_012135.3 325 312 0.656 0.946 0.520 0.665 0.357 0.948 0.105 0.234 0.025 0.305 0.154 0.440 0.231 0.409 0.028 0.360 0.203 0.508
NM_006339.3 317 307 0.645 0.857 0.543 0.659 0.413 0.861 0.091 0.218 0.079 0.312 0.221 0.363 0.249 0.369 0.060 0.347 0.192 0.498
NM_052865.4 344 332 0.443 0.443 0.443 0.515 0.352 0.462 0.206 0.270 0.265 0.227 0.198 0.206 0.279 0.378 0.273 0.288 0.154 0.256
NM_024496.4 796 774 0.679 0.786 0.628 0.676 0.570 0.791 0.144 0.182 0.113 0.315 0.356 0.399 0.180 0.247 0.095 0.361 0.215 0.392
NM_031280.4 257 248 0.516 0.597 0.478 0.553 0.385 0.611 0.121 0.268 0.179 0.280 0.202 0.292 0.327 0.346 0.210 0.272 0.183 0.319
NM_002047.4 739 715 0.475 0.466 0.479 0.564 0.378 0.483 0.171 0.295 0.272 0.219 0.221 0.238 0.265 0.327 0.245 0.345 0.157 0.245
NM_032601.4 176 171 0.472 0.380 0.515 0.631 0.386 0.398 0.108 0.324 0.318 0.239 0.233 0.153 0.261 0.290 0.284 0.392 0.153 0.244
NM_000938.3 1174 1124 0.416 0.335 0.454 0.510 0.375 0.363 0.187 0.288 0.377 0.196 0.200 0.156 0.303 0.337 0.260 0.314 0.175 0.207
NM_020905.4 336 325 0.564 0.618 0.539 0.628 0.435 0.631 0.143 0.318 0.193 0.256 0.202 0.315 0.229 0.247 0.176 0.372 0.232 0.315
NM_004494.3 240 234 0.567 0.671 0.516 0.617 0.404 0.679 0.125 0.146 0.154 0.175 0.237 0.292 0.258 0.450 0.167 0.442 0.167 0.388
NM_023924.5 597 580 0.538 0.648 0.485 0.576 0.379 0.658 0.137 0.224 0.184 0.221 0.221 0.300 0.286 0.397 0.157 0.355 0.157 0.358
NM_016208.4 221 209 0.597 0.833 0.489 0.588 0.362 0.842 0.149 0.294 0.072 0.262 0.204 0.443 0.262 0.344 0.086 0.326 0.158 0.398
NM_153035.3 208 202 0.436 0.441 0.434 0.490 0.361 0.457 0.154 0.274 0.245 0.207 0.216 0.188 0.356 0.365 0.298 0.284 0.144 0.269
NM_003339.3 147 140 0.422 0.321 0.468 0.483 0.429 0.354 0.204 0.265 0.361 0.238 0.265 0.150 0.313 0.306 0.286 0.245 0.163 0.204
NM_013338.5 324 306 0.432 0.327 0.480 0.543 0.389 0.364 0.191 0.318 0.302 0.222 0.219 0.145 0.265 0.293 0.333 0.321 0.170 0.219
NM_024595.3 192 186 0.554 0.548 0.556 0.599 0.500 0.562 0.156 0.193 0.219 0.359 0.302 0.229 0.245 0.307 0.219 0.240 0.198 0.333
NM_001687.5 168 165 0.683 0.861 0.596 0.708 0.476 0.863 0.113 0.292 0.071 0.250 0.345 0.452 0.179 0.232 0.065 0.458 0.131 0.411
NM_018303.6 924 892 0.451 0.451 0.451 0.514 0.368 0.470 0.180 0.292 0.264 0.218 0.201 0.231 0.306 0.340 0.266 0.297 0.167 0.239
NM_016070.4 190 187 0.511 0.513 0.509 0.600 0.411 0.521 0.179 0.247 0.221 0.247 0.216 0.221 0.221 0.342 0.258 0.353 0.195 0.300
NM_005858.4 692 671 0.587 0.647 0.559 0.627 0.477 0.658 0.136 0.165 0.173 0.217 0.240 0.360 0.237 0.358 0.169 0.410 0.237 0.298
NM_001004127.3 492 474 0.404 0.348 0.430 0.486 0.354 0.372 0.228 0.354 0.372 0.189 0.173 0.169 0.287 0.293 0.256 0.297 0.181 0.203
NM_015276.2 525 505 0.561 0.766 0.464 0.512 0.396 0.775 0.200 0.257 0.118 0.253 0.189 0.448 0.288 0.347 0.107 0.259 0.208 0.328
NM_016470.8 292 283 0.487 0.420 0.519 0.507 0.517 0.438 0.216 0.188 0.284 0.205 0.318 0.233 0.277 0.295 0.277 0.301 0.199 0.205
NM_003449.5 539 523 0.597 0.748 0.525 0.640 0.395 0.755 0.143 0.237 0.098 0.258 0.178 0.336 0.217 0.367 0.147 0.382 0.217 0.419
NM_006389.5 999 969 0.555 0.639 0.515 0.638 0.378 0.650 0.104 0.266 0.187 0.246 0.224 0.267 0.258 0.355 0.163 0.391 0.154 0.382
NM_052879.5 724 705 0.424 0.304 0.481 0.500 0.449 0.322 0.189 0.211 0.349 0.206 0.283 0.135 0.311 0.340 0.329 0.294 0.166 0.186
NM_032324.3 190 188 0.505 0.511 0.503 0.563 0.437 0.516 0.137 0.316 0.232 0.216 0.205 0.242 0.300 0.247 0.253 0.347 0.232 0.274
NM_003721.4 260 255 0.614 0.725 0.560 0.685 0.427 0.731 0.112 0.258 0.146 0.300 0.273 0.415 0.204 0.315 0.123 0.385 0.154 0.315
NM_014296.3 813 786 0.412 0.337 0.448 0.491 0.387 0.359 0.203 0.262 0.336 0.205 0.223 0.169 0.306 0.351 0.305 0.285 0.165 0.191
NM_012331.5 235 225 0.548 0.627 0.510 0.566 0.434 0.643 0.183 0.230 0.170 0.234 0.234 0.383 0.251 0.336 0.187 0.332 0.200 0.260
NM_153371.4 690 674 0.479 0.445 0.496 0.548 0.432 0.458 0.158 0.259 0.316 0.238 0.213 0.233 0.294 0.309 0.226 0.310 0.219 0.225
NM_019048.4 643 621 0.390 0.269 0.448 0.502 0.375 0.294 0.213 0.316 0.407 0.190 0.199 0.124 0.285 0.309 0.299 0.313 0.176 0.170
NM_003677.5 198 194 0.401 0.278 0.460 0.530 0.379 0.293 0.152 0.217 0.313 0.136 0.197 0.136 0.318 0.404 0.394 0.394 0.182 0.157
NM_019606.6 689 679 0.630 0.680 0.606 0.666 0.540 0.685 0.145 0.183 0.186 0.332 0.284 0.360 0.189 0.277 0.129 0.334 0.255 0.325
NM_020745.4 985 950 0.617 0.680 0.588 0.696 0.464 0.691 0.130 0.276 0.162 0.309 0.250 0.305 0.174 0.260 0.146 0.388 0.214 0.387
NM_006708.3 184 174 0.444 0.414 0.458 0.516 0.370 0.446 0.174 0.261 0.321 0.196 0.217 0.228 0.310 0.370 0.234 0.321 0.152 0.217
NM_015971.4 242 227 0.540 0.626 0.501 0.583 0.388 0.649 0.132 0.277 0.174 0.281 0.215 0.285 0.285 0.335 0.178 0.302 0.174 0.364
NM_016284.5 2376 2283 0.452 0.412 0.470 0.545 0.375 0.435 0.173 0.308 0.324 0.258 0.230 0.202 0.282 0.316 0.240 0.286 0.145 0.233
NM_002803.4 433 420 0.457 0.412 0.479 0.561 0.381 0.430 0.120 0.284 0.349 0.201 0.206 0.185 0.319 0.335 0.222 0.360 0.176 0.245
NM_006710.5 209 199 0.470 0.387 0.509 0.565 0.431 0.416 0.172 0.292 0.292 0.220 0.287 0.187 0.263 0.278 0.292 0.344 0.144 0.230
NM_017599.4 779 760 0.425 0.362 0.456 0.540 0.358 0.377 0.189 0.280 0.293 0.245 0.223 0.171 0.271 0.362 0.330 0.295 0.135 0.207
NM_014160.5 416 401 0.522 0.589 0.490 0.514 0.447 0.603 0.209 0.219 0.228 0.219 0.214 0.317 0.276 0.334 0.168 0.296 0.233 0.286
NM_015132.5 957 916 0.386 0.305 0.425 0.493 0.331 0.334 0.202 0.315 0.343 0.201 0.180 0.159 0.305 0.354 0.323 0.293 0.152 0.176
NM_016531.6 345 327 0.512 0.538 0.500 0.519 0.455 0.562 0.209 0.246 0.191 0.290 0.301 0.270 0.272 0.299 0.246 0.229 0.154 0.293
NM_002092.4 480 465 0.520 0.516 0.522 0.592 0.438 0.531 0.169 0.260 0.260 0.221 0.258 0.265 0.240 0.302 0.208 0.371 0.179 0.267
NM_004047.5 205 195 0.569 0.718 0.500 0.522 0.454 0.732 0.195 0.395 0.190 0.137 0.234 0.473 0.283 0.151 0.078 0.385 0.220 0.259
NM_020832.3 1237 1210 0.608 0.636 0.594 0.631 0.549 0.644 0.153 0.202 0.227 0.289 0.318 0.348 0.217 0.249 0.129 0.341 0.231 0.296
NM_018686.6 434 419 0.455 0.377 0.493 0.567 0.401 0.399 0.177 0.263 0.316 0.200 0.182 0.180 0.256 0.336 0.286 0.366 0.219 0.219
NM_016579.4 282 272 0.656 0.732 0.620 0.624 0.603 0.741 0.160 0.223 0.138 0.287 0.319 0.443 0.216 0.174 0.121 0.337 0.284 0.298
NM_001304.5 1380 1337 0.471 0.439 0.487 0.544 0.414 0.457 0.178 0.261 0.309 0.214 0.236 0.237 0.278 0.325 0.235 0.330 0.178 0.220
NM_006694.4 146 141 0.523 0.560 0.505 0.527 0.466 0.575 0.247 0.281 0.199 0.219 0.233 0.288 0.226 0.253 0.226 0.308 0.233 0.288
NM_005049.3 919 884 0.570 0.718 0.500 0.563 0.419 0.729 0.188 0.286 0.163 0.218 0.224 0.384 0.249 0.295 0.108 0.345 0.195 0.345
NM_021163.4 714 699 0.402 0.375 0.416 0.440 0.380 0.388 0.246 0.185 0.314 0.188 0.179 0.197 0.314 0.436 0.298 0.252 0.200 0.190
NM_014077.4 112 107 0.548 0.766 0.445 0.554 0.312 0.777 0.054 0.196 0.018 0.232 0.170 0.304 0.393 0.491 0.205 0.321 0.143 0.473
NM_004882.4 450 436 0.416 0.392 0.428 0.431 0.407 0.411 0.164 0.133 0.240 0.167 0.180 0.189 0.404 0.460 0.349 0.264 0.227 0.222
NM_006660.5 633 625 0.430 0.314 0.487 0.561 0.408 0.322 0.164 0.261 0.322 0.199 0.223 0.144 0.275 0.332 0.355 0.362 0.185 0.179
NM_017971.4 149 145 0.530 0.648 0.474 0.523 0.409 0.658 0.168 0.289 0.181 0.228 0.188 0.315 0.309 0.302 0.161 0.295 0.221 0.342
NM_024345.5 559 547 0.526 0.475 0.550 0.555 0.537 0.487 0.215 0.220 0.284 0.261 0.301 0.281 0.231 0.243 0.229 0.293 0.236 0.206
NM_139178.4 286 273 0.494 0.447 0.516 0.566 0.444 0.472 0.157 0.213 0.259 0.262 0.238 0.231 0.276 0.343 0.269 0.304 0.206 0.241
NM_005791.3 681 666 0.393 0.348 0.414 0.542 0.273 0.363 0.132 0.232 0.280 0.169 0.163 0.137 0.326 0.495 0.357 0.373 0.110 0.226
NM_025124.4 195 192 0.644 0.865 0.537 0.605 0.462 0.867 0.210 0.297 0.092 0.282 0.221 0.497 0.185 0.241 0.041 0.323 0.241 0.369
NM_004275.5 212 202 0.552 0.653 0.505 0.571 0.415 0.670 0.160 0.302 0.226 0.222 0.203 0.311 0.269 0.283 0.104 0.349 0.212 0.358
NM_005333.5 268 247 0.476 0.413 0.504 0.504 0.466 0.459 0.231 0.194 0.310 0.187 0.284 0.160 0.265 0.340 0.231 0.317 0.183 0.299
NM_004323.6 345 338 0.573 0.642 0.539 0.629 0.441 0.649 0.099 0.217 0.174 0.272 0.226 0.238 0.272 0.342 0.177 0.357 0.214 0.412
NM_001040697.4 471 453 0.414 0.364 0.438 0.495 0.359 0.389 0.191 0.325 0.314 0.183 0.206 0.197 0.314 0.316 0.297 0.312 0.153 0.191
NM_002044.4 458 442 0.480 0.468 0.486 0.552 0.402 0.487 0.162 0.299 0.273 0.225 0.201 0.203 0.286 0.299 0.240 0.328 0.201 0.284
NM_004300.4 158 153 0.456 0.477 0.445 0.487 0.386 0.494 0.184 0.247 0.285 0.184 0.184 0.247 0.329 0.367 0.222 0.304 0.203 0.247
NM_018164.3 706 680 0.399 0.287 0.452 0.504 0.380 0.313 0.181 0.259 0.348 0.200 0.207 0.143 0.314 0.361 0.339 0.305 0.173 0.170
NM_003286.4 765 733 0.431 0.468 0.414 0.511 0.293 0.490 0.124 0.207 0.252 0.200 0.161 0.207 0.365 0.501 0.258 0.311 0.132 0.284
NM_001001330.3 255 241 0.414 0.303 0.466 0.510 0.392 0.341 0.188 0.271 0.286 0.188 0.231 0.137 0.302 0.337 0.373 0.322 0.161 0.204
NM_004264.5 144 142 0.451 0.338 0.507 0.604 0.403 0.347 0.146 0.243 0.375 0.250 0.292 0.132 0.250 0.354 0.278 0.354 0.111 0.215
NM_022780.4 391 377 0.459 0.462 0.457 0.542 0.353 0.481 0.189 0.307 0.274 0.233 0.164 0.225 0.269 0.340 0.246 0.309 0.189 0.256
NM_003805.5 199 191 0.575 0.712 0.510 0.633 0.367 0.724 0.136 0.312 0.126 0.337 0.206 0.322 0.231 0.322 0.151 0.296 0.161 0.402
NM_012139.4 458 438 0.528 0.477 0.552 0.583 0.502 0.500 0.201 0.225 0.264 0.221 0.264 0.247 0.216 0.273 0.236 0.362 0.238 0.253
NM_024640.4 279 272 0.651 0.710 0.623 0.692 0.545 0.717 0.136 0.269 0.201 0.301 0.290 0.358 0.172 0.186 0.082 0.391 0.254 0.358
NM_023015.5 1042 997 0.528 0.623 0.484 0.579 0.368 0.639 0.154 0.302 0.198 0.280 0.201 0.303 0.268 0.330 0.163 0.298 0.167 0.336
NM_024544.3 352 344 0.567 0.721 0.493 0.591 0.384 0.727 0.162 0.298 0.162 0.284 0.182 0.344 0.247 0.318 0.111 0.307 0.202 0.384
NM_005760.3 1054 1022 0.394 0.348 0.416 0.508 0.306 0.368 0.167 0.270 0.331 0.176 0.176 0.151 0.325 0.423 0.301 0.331 0.131 0.217
NM_182501.4 381 371 0.491 0.561 0.457 0.572 0.328 0.572 0.160 0.276 0.281 0.236 0.157 0.231 0.268 0.396 0.147 0.336 0.171 0.341
NM_014346.4 517 496 0.571 0.710 0.506 0.586 0.406 0.721 0.153 0.267 0.153 0.277 0.224 0.377 0.261 0.327 0.126 0.309 0.182 0.344
NM_018453.4 285 275 0.430 0.378 0.455 0.519 0.372 0.400 0.186 0.193 0.305 0.161 0.221 0.186 0.295 0.435 0.295 0.358 0.151 0.214
NM_021943.3 227 220 0.535 0.555 0.525 0.515 0.520 0.568 0.198 0.172 0.207 0.264 0.260 0.286 0.286 0.308 0.225 0.251 0.260 0.282
NM_054027.6 492 467 0.543 0.683 0.479 0.528 0.402 0.699 0.175 0.372 0.165 0.193 0.240 0.380 0.297 0.226 0.136 0.335 0.163 0.319
NM_020961.4 456 444 0.425 0.306 0.483 0.518 0.434 0.325 0.169 0.215 0.346 0.186 0.193 0.167 0.314 0.351 0.329 0.331 0.241 0.158
NM_000430.4 410 386 0.441 0.363 0.476 0.515 0.407 0.400 0.200 0.256 0.312 0.176 0.215 0.190 0.285 0.337 0.288 0.339 0.193 0.210
NM_004136.4 963 940 0.405 0.281 0.465 0.516 0.402 0.298 0.204 0.302 0.367 0.177 0.233 0.145 0.280 0.296 0.335 0.340 0.169 0.153
NM_014612.5 1118 1081 0.568 0.611 0.547 0.602 0.478 0.624 0.157 0.236 0.201 0.275 0.266 0.338 0.242 0.286 0.174 0.326 0.212 0.286
NM_024602.6 861 830 0.599 0.714 0.544 0.653 0.419 0.725 0.149 0.282 0.146 0.290 0.203 0.352 0.199 0.298 0.129 0.362 0.216 0.373
NM_001008739.2 101 98 0.696 0.735 0.678 0.723 0.624 0.743 0.129 0.188 0.149 0.376 0.455 0.317 0.149 0.188 0.109 0.347 0.168 0.426
NM_006023.3 336 327 0.439 0.443 0.438 0.518 0.342 0.458 0.208 0.277 0.327 0.217 0.188 0.241 0.274 0.381 0.214 0.301 0.155 0.217
NM_024894.4 688 671 0.413 0.402 0.419 0.488 0.334 0.417 0.203 0.266 0.282 0.196 0.179 0.188 0.308 0.400 0.301 0.292 0.156 0.230
NM_024755.4 1034 1017 0.448 0.335 0.504 0.554 0.445 0.346 0.113 0.150 0.297 0.182 0.202 0.147 0.333 0.405 0.357 0.372 0.243 0.199
NM_018976.5 506 486 0.405 0.393 0.411 0.437 0.362 0.417 0.269 0.403 0.364 0.168 0.227 0.196 0.294 0.235 0.219 0.269 0.134 0.221
